LOCATION,SUBJECT,TIME,Value
AUS,BEEF,1991,27.72181548
AUS,BEEF,1992,26.19959097
AUS,BEEF,1993,26.1690941
AUS,BEEF,1994,25.45613441
AUS,BEEF,1995,25.34022628
AUS,BEEF,1996,27.25910403
AUS,BEEF,1997,28.80291318
AUS,BEEF,1998,26.59047661
AUS,BEEF,1999,27.91828298
AUS,BEEF,2000,26.35462433
AUS,BEEF,2001,24.46036157
AUS,BEEF,2002,25.11618553
AUS,BEEF,2003,25.81171138
AUS,BEEF,2004,28.56664444
AUS,BEEF,2005,27.06126788
AUS,BEEF,2006,26.92516712
AUS,BEEF,2007,24.09761552
AUS,BEEF,2008,23.30106253
AUS,BEEF,2009,23.43242333
AUS,BEEF,2010,25.30048579
AUS,BEEF,2011,23.28277027
AUS,BEEF,2012,22.42724269
AUS,BEEF,2013,23.7283312
AUS,BEEF,2014,22.56230877
AUS,BEEF,2015,19.69921565
AUS,BEEF,2016,22.05102618
AUS,BEEF,2017,20.93936854
AUS,BEEF,2018,20.48332546
AUS,BEEF,2019,20.19777844
AUS,BEEF,2020,20.22746576
AUS,BEEF,2021,20.13033565
AUS,BEEF,2022,19.95139468
AUS,BEEF,2023,19.82683288
AUS,BEEF,2024,19.66928386
AUS,BEEF,2025,19.54064458
AUS,BEEF,2026,19.40126662
AUS,PIG,1991,14.39647626
AUS,PIG,1992,15.12924672
AUS,PIG,1993,14.87067653
AUS,PIG,1994,15.59669061
AUS,PIG,1995,15.50471713
AUS,PIG,1996,14.45952018
AUS,PIG,1997,14.715333
AUS,PIG,1998,15.16593208
AUS,PIG,1999,15.06947353
AUS,PIG,2000,15.20645363
AUS,PIG,2001,15.20759062
AUS,PIG,2002,15.96301173
AUS,PIG,2003,17.41455784
AUS,PIG,2004,17.70259893
AUS,PIG,2005,18.6201897
AUS,PIG,2006,17.95899956
AUS,PIG,2007,19.68006992
AUS,PIG,2008,19.2820737
AUS,PIG,2009,19.86932277
AUS,PIG,2010,20.15720138
AUS,PIG,2011,19.62017287
AUS,PIG,2012,20.52933381
AUS,PIG,2013,19.98708042
AUS,PIG,2014,19.9871332
AUS,PIG,2015,21.73693448
AUS,PIG,2016,20.49553047
AUS,PIG,2017,20.66639814
AUS,PIG,2018,20.64830874
AUS,PIG,2019,20.67253334
AUS,PIG,2020,20.72378898
AUS,PIG,2021,20.77310466
AUS,PIG,2022,20.79514695
AUS,PIG,2023,20.84582526
AUS,PIG,2024,20.88185661
AUS,PIG,2025,20.93324486
AUS,PIG,2026,20.99515033
AUS,POULTRY,1990,21.76757838
AUS,POULTRY,1991,22.05673617
AUS,POULTRY,1992,22.07211807
AUS,POULTRY,1993,23.25137718
AUS,POULTRY,1994,23.99330583
AUS,POULTRY,1995,23.57849787
AUS,POULTRY,1996,24.02355821
AUS,POULTRY,1997,25.24692111
AUS,POULTRY,1998,27.17069992
AUS,POULTRY,1999,27.45078135
AUS,POULTRY,2000,29.19249231
AUS,POULTRY,2001,28.77354597
AUS,POULTRY,2002,31.94918767
AUS,POULTRY,2003,30.86740123
AUS,POULTRY,2004,32.31550356
AUS,POULTRY,2005,33.58058326
AUS,POULTRY,2006,35.05006452
AUS,POULTRY,2007,34.670484
AUS,POULTRY,2008,33.20141749
AUS,POULTRY,2009,33.5478125
AUS,POULTRY,2010,37.63066646
AUS,POULTRY,2011,39.4917753
AUS,POULTRY,2012,40.30562166
AUS,POULTRY,2013,40.13447575
AUS,POULTRY,2014,40.8019175
AUS,POULTRY,2015,41.23261363
AUS,POULTRY,2016,43.5873593
AUS,POULTRY,2017,44.46783575
AUS,POULTRY,2018,45.14589246
AUS,POULTRY,2019,45.53294152
AUS,POULTRY,2020,45.74685174
AUS,POULTRY,2021,45.81702452
AUS,POULTRY,2022,45.97498527
AUS,POULTRY,2023,46.07375154
AUS,POULTRY,2024,46.20816957
AUS,POULTRY,2025,46.30641882
AUS,POULTRY,2026,46.33791562
AUS,SHEEP,1990,18.86177628
AUS,SHEEP,1991,19.26238548
AUS,SHEEP,1992,17.82159386
AUS,SHEEP,1993,17.35675736
AUS,SHEEP,1994,18.36657075
AUS,SHEEP,1995,15.00545522
AUS,SHEEP,1996,14.69112654
AUS,SHEEP,1997,14.96019576
AUS,SHEEP,1998,15.37533937
AUS,SHEEP,1999,15.15436115
AUS,SHEEP,2000,16.26876886
AUS,SHEEP,2001,14.88896355
AUS,SHEEP,2002,13.69932962
AUS,SHEEP,2003,12.08448041
AUS,SHEEP,2004,11.92095205
AUS,SHEEP,2005,11.93546913
AUS,SHEEP,2006,12.32227898
AUS,SHEEP,2007,12.55087352
AUS,SHEEP,2008,10.97233226
AUS,SHEEP,2009,10.32414401
AUS,SHEEP,2010,8.969861448
AUS,SHEEP,2011,8.044461783
AUS,SHEEP,2012,8.720105015
AUS,SHEEP,2013,8.716901165
AUS,SHEEP,2014,8.107499586
AUS,SHEEP,2015,9.331542874
AUS,SHEEP,2016,8.550365388
AUS,SHEEP,2017,8.537929538
AUS,SHEEP,2018,8.721526945
AUS,SHEEP,2019,8.703678917
AUS,SHEEP,2020,8.670559816
AUS,SHEEP,2021,8.643369283
AUS,SHEEP,2022,8.606748727
AUS,SHEEP,2023,8.575068295
AUS,SHEEP,2024,8.547056488
AUS,SHEEP,2025,8.525495271
AUS,SHEEP,2026,8.579965349
CAN,BEEF,1990,24.89209195
CAN,BEEF,1991,24.34673794
CAN,BEEF,1992,23.72147578
CAN,BEEF,1993,22.69923619
CAN,BEEF,1994,23.11781332
CAN,BEEF,1995,23.20123246
CAN,BEEF,1996,22.94454737
CAN,BEEF,1997,23.00682546
CAN,BEEF,1998,23.28368068
CAN,BEEF,1999,23.70778695
CAN,BEEF,2000,23.3240591
CAN,BEEF,2001,22.4189051
CAN,BEEF,2002,22.33591869
CAN,BEEF,2003,23.57415561
CAN,BEEF,2004,22.63740914
CAN,BEEF,2005,21.93146759
CAN,BEEF,2006,21.6617472
CAN,BEEF,2007,22.11093112
CAN,BEEF,2008,21.45689865
CAN,BEEF,2009,20.43357961
CAN,BEEF,2010,20.20361322
CAN,BEEF,2011,19.71388037
CAN,BEEF,2012,19.8217058
CAN,BEEF,2013,19.5716168
CAN,BEEF,2014,18.11378712
CAN,BEEF,2015,16.68019342
CAN,BEEF,2016,17.36913347
CAN,BEEF,2017,18.35833987
CAN,BEEF,2018,18.2022118
CAN,BEEF,2019,18.29682392
CAN,BEEF,2020,18.49557028
CAN,BEEF,2021,18.45390785
CAN,BEEF,2022,18.42691831
CAN,BEEF,2023,18.44592679
