ID,Age,Age_gr,Gender,Work_Experience,Family_Size,Ever_Married,Graduated,Profession,Spending_Score,Var_1,Segmentation
462809,22,30,1,1,4,1,1,6,2,4,
462643,38,40,0,null,3,2,2,3,0,4,A
466315,67,70,0,1,1,2,2,3,2,6,
461735,67,70,1,0,2,2,2,8,1,6,B
462669,40,40,0,null,6,2,2,4,1,6,A
461319,56,60,1,0,2,2,1,1,0,6,C
460156,32,40,1,1,3,1,2,6,2,6,C
464347,33,40,0,1,3,1,2,6,2,6,D
465015,61,70,0,0,3,2,2,3,2,7,D
465176,55,60,0,1,4,2,2,1,0,6,C
464041,26,30,0,1,3,1,2,3,2,6,A
464942,19,20,1,4,4,1,1,6,2,4,D
461230,19,20,0,0,null,1,1,5,2,3,D
459573,70,70,1,null,1,2,1,8,2,6,A
460849,58,60,0,0,1,2,1,2,2,3,B
460563,41,50,0,1,2,1,1,6,2,1,C
466865,32,40,0,9,5,1,1,7,2,3,D
461644,31,40,1,1,6,1,1,6,2,6,B
466772,58,60,1,1,4,2,2,4,0,6,B
464291,79,70,0,0,1,2,2,1,1,6,C
466084,49,50,1,12,1,2,2,7,2,3,A
459675,18,20,0,3,4,1,1,6,2,6,D
465602,33,40,1,13,2,2,2,1,2,3,A
459168,36,40,0,5,2,1,2,1,2,6,B
461021,58,60,0,1,3,0,1,5,0,3,B
465083,56,60,1,1,3,2,1,1,0,6,C
467604,31,40,1,9,8,1,1,6,2,4,A
459717,49,50,1,1,3,2,2,1,0,6,C
465882,35,40,1,0,1,1,2,1,2,6,B
461996,35,40,0,5,4,1,1,1,2,6,C
463331,45,50,0,0,3,2,2,1,2,6,C
462216,42,50,0,1,2,2,1,2,2,4,A
462454,19,20,1,1,3,1,1,6,2,2,D
467010,26,30,1,9,null,1,1,7,2,6,D
459861,83,70,0,1,2,2,1,8,1,6,D
467917,27,30,0,3,4,1,2,6,2,1,D
465572,32,40,1,5,1,1,1,2,2,4,D
460593,28,30,0,1,5,2,1,6,0,3,D
465891,28,30,0,8,2,2,2,1,2,6,A
467442,56,60,1,null,2,2,2,1,0,6,C
462044,47,50,0,4,1,1,2,1,2,6,B
465686,22,30,0,0,2,1,1,6,2,6,D
464590,27,30,0,14,3,1,2,1,2,6,A
466006,49,50,0,1,2,2,2,1,2,0,C
466152,40,40,1,8,1,2,1,3,2,6,A
463156,79,70,0,null,2,2,1,8,1,6,A
465729,41,50,1,0,4,2,2,1,0,4,B
462384,29,30,0,null,1,1,2,6,2,7,A
462442,19,20,1,0,4,1,1,6,2,6,D
464191,45,50,0,1,1,1,2,3,2,6,A
462078,61,70,0,1,2,2,1,1,0,2,B
467873,36,40,0,1,2,2,2,1,0,6,C
461270,40,40,1,1,1,2,2,1,2,3,A
462960,57,60,0,0,2,2,2,4,0,6,C
464961,76,70,1,1,1,2,1,9,2,4,A
462110,32,40,1,14,2,2,2,1,0,6,B
465769,25,30,1,9,4,1,2,6,2,6,D
462267,32,40,1,8,2,1,0,2,2,6,D
465269,45,50,0,1,3,2,2,1,0,3,C
460881,72,70,1,1,null,2,2,8,2,4,D
461891,48,50,1,0,2,2,2,1,0,6,C
466935,55,60,1,9,2,2,2,1,0,1,C
464091,74,70,1,0,3,2,2,8,1,6,D
464535,56,60,1,1,2,2,2,8,1,6,A
463108,59,60,1,7,2,2,2,8,1,6,A
461356,25,30,1,0,2,1,2,4,2,6,A
464570,31,40,1,0,2,2,2,2,0,6,A
464580,27,30,1,8,4,1,1,1,2,6,A
465233,57,60,1,0,4,2,2,1,0,6,B
467208,39,40,0,null,2,2,2,7,1,6,A
459954,27,30,1,8,2,2,2,6,2,6,D
460219,51,60,0,8,2,2,2,4,0,6,A
460877,47,50,0,0,5,2,1,1,0,6,B
460191,33,40,0,8,4,1,1,6,2,6,D
463742,56,60,1,0,4,2,2,1,0,6,C
463691,33,40,0,0,3,1,1,7,2,6,B
463250,36,40,0,0,2,1,2,2,2,6,D
463952,51,60,1,4,3,2,1,1,2,4,A
461558,45,50,1,2,2,2,2,3,0,6,C
466567,49,50,0,1,1,1,2,0,2,6,D
465379,30,30,1,0,4,1,1,6,2,6,C
463814,26,30,0,6,3,1,1,6,2,5,D
466938,63,70,1,8,1,2,2,1,2,6,A
460671,35,40,1,8,4,2,1,4,0,3,B
462204,19,20,0,1,3,1,1,9,2,4,A
