id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15
2597000006,20150309T000000,347500.0,3,1.5,1180,8353,1.0,0,0,3,7,1180,0,1960,0,98155,1710,8748
8813400345,20150414T000000,575000.0,2,1.0,980,3663,1.0,0,0,5,7,980,0,1909,0,98105,1620,3706
226059106,20150102T000000,489500.0,3,1.75,2090,65558,1.0,0,0,3,8,1330,760,1977,0,98072,2450,47178
8645500270,20141028T000000,246000.0,4,1.75,1720,7455,1.0,0,0,4,7,1020,700,1963,0,98058,1720,7700
7010700550,20141114T000000,595000.0,3,2.5,2030,5100,2.0,0,0,3,7,2030,0,2008,0,98199,1790,4380
8563300085,20141201T000000,425000.0,3,1.75,1530,9800,1.0,0,0,5,8,1530,0,1958,0,98133,1660,9800
41000454,20140815T000000,130000.0,2,1.0,880,9000,1.0,0,0,3,5,880,0,1928,0,98188,1410,10000
7789900030,20140725T000000,319990.0,4,1.5,1890,10707,1.0,0,0,3,7,1890,0,1962,0,98148,1610,8827
2193340260,20150107T000000,596500.0,4,2.25,1770,8505,2.0,0,0,3,8,1770,0,1986,0,98052,1880,8939
952006728,20140613T000000,330000.0,3,2.5,1070,1155,2.0,0,0,3,7,720,350,2005,0,98102,1120,2594
6450304130,20140505T000000,329950.0,2,1.0,1140,5250,1.5,0,0,4,6,1140,0,1949,0,98133,1450,5250
1954440050,20140725T000000,550000.0,4,2.5,2050,8683,2.0,0,0,3,8,2050,0,1987,0,98074,2010,8744
2155000480,20150429T000000,499950.0,3,1.5,1350,9315,1.0,0,0,3,7,1350,0,1968,0,98052,1840,9920
8651600110,20150421T000000,939000.0,4,2.25,2240,9684,2.0,0,0,4,9,2240,0,1970,0,98040,2440,9618
2379300330,20140702T000000,345000.0,5,2.5,2450,6994,2.0,0,0,3,8,2450,0,2002,0,98030,1940,6035
868001705,20150206T000000,1465000.0,3,1.5,2480,9900,2.0,0,3,3,10,2130,350,1940,0,98177,2860,9288
622069006,20140820T000000,1500000.0,4,5.5,6550,217374,1.0,0,0,3,11,5400,1150,2006,0,98058,4110,50378
5249801440,20141216T000000,250000.0,3,1.0,1660,7650,1.5,0,0,3,7,1350,310,1910,0,98118,1750,5760
