satisfaction,Gender,Age,Customer_Type,Class,Flight_Distance,Seat_comfort,Food_and_drink,Inflight_wifi_service,Inflight_entertainment,Onboard_service,Leg_room_service,Baggage_handling,Cleanliness,Departure_Delay_in_Minutes,Arrival_Delay_in_Minutes
satisfied,Female,19.0,Loyal Customer,Eco,1981.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,28.0
dissatisfied,Female,64.0,Loyal Customer,Eco,2847.0,1.0,1.0,1.0,2.0,5.0,3.0,4.0,4.0,111.0,133.0
dissatisfied,Male,55.0,Loyal Customer,Eco,3790.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,15.0
satisfied,Female,39.0,Loyal Customer,Eco,1741.0,4.0,4.0,5.0,4.0,1.0,1.0,5.0,5.0,2.0,0.0
dissatisfied,Female,29.0,Loyal Customer,Eco,3829.0,2.0,1.0,1.0,4.0,2.0,4.0,3.0,1.0,365.0,383.0
dissatisfied,Male,11.0,Loyal Customer,Eco,3085.0,1.0,1.0,3.0,1.0,4.0,2.0,3.0,4.0,0.0,0.0
satisfied,Female,46.0,Loyal Customer,Business,295.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,0.0,0.0
dissatisfied,Male,52.0,Loyal Customer,Eco,1271.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,4.0,0.0,11.0
satisfied,Female,47.0,Loyal Customer,Eco,916.0,0.0,0.0,5.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0
dissatisfied,Female,58.0,Loyal Customer,Eco,2176.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0
satisfied,Female,17.0,Loyal Customer,Eco Plus,1940.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,41.0,55.0
satisfied,Female,13.0,Loyal Customer,Eco,1605.0,1.0,1.0,4.0,4.0,1.0,3.0,4.0,4.0,16.0,12.0
satisfied,Female,52.0,Loyal Customer,Business,2486.0,0.0,0.0,3.0,0.0,2.0,1.0,3.0,4.0,0.0,6.0
satisfied,Female,11.0,Loyal Customer,Eco,2993.0,2.0,3.0,5.0,1.0,3.0,4.0,3.0,3.0,0.0,0.0
