model,engine_power,age_in_days,km,previous_owners,price,,,,,,,,,,,
lounge,51,882,25000,1,8900,,,,,,,,,,,
pop,51,1186,32500,1,8800,,,,,,,,,,,
sport,74,4658,142228,1,4200,,,,,,,,,,,
lounge,51,2739,160000,1,6000,,,,,,,,,,,
pop,73,3074,106880,1,5700,,,,,,,,,,,
pop,74,3623,70225,1,7900,,,,,,,,,,,
lounge,51,731,11600,1,10750,,,,,,,,,,,
lounge,51,1521,49076,1,9190,,,,,,,,,,,
sport,73,4049,76000,1,5600,,,,,,,,,,,
sport,51,3653,89000,1,6000,,,,,,,,,,,
pop,51,790,43286,1,8950,,,,,,,,,,,
lounge,51,366,17500,1,10990,,,,,,,,,,,
lounge,51,456,18450,1,9700,,,,,,,,,,,
pop,51,3835,120000,1,4800,,,,,,,,,,,
lounge,51,1035,40500,1,9300,,,,,,,,,,,
lounge,51,1096,28200,1,9500,,,,,,,,,,,
lounge,73,4200,110000,1,5250,,,,,,,,,,,
pop,51,2223,96848,1,7990,,,,,,,,,,,
lounge,51,2861,31000,1,7300,,,,,,,,,,,
lounge,51,425,20030,1,10500,,,,,,,,,,,
lounge,51,397,19037,1,10500,,,,,,,,,,,
lounge,51,1886,110000,1,6990,,,,,,,,,,,
lounge,51,1035,8000,1,10600,,,,,,,,,,,
lounge,51,790,27595,1,10200,,,,,,,,,,,
lounge,51,1583,14900,1,9990,,,,,,,,,,,
lounge,51,366,9218,1,10800,,,,,,,,,,,
pop,51,3592,124000,1,6800,,,,,,,,,,,
sport,51,3531,100000,1,4950,,,,,,,,,,,
lounge,51,762,28900,1,10640,,,,,,,,,,,
lounge,51,670,4000,1,9500,,,,,,,,,,,
lounge,62,2769,59216,1,6990,,,,,,,,,,,
lounge,51,4169,99477,2,5900,,,,,,,,,,,
lounge,51,821,21730,2,10500,,,,,,,,,,,
sport,51,3927,140000,2,5200,,,,,,,,,,,
lounge,51,640,32033,2,9790,,,,,,,,,,,
pop,51,3653,138116,2,5000,,,,,,,,,,,
pop,51,852,17000,1,8990,,,,,,,,,,,
pop,51,3013,58527,1,7200,,,,,,,,,,,
sport,51,790,43100,1,9950,,,,,,,,,,,
pop,51,1858,13373,1,9000,,,,,,,,,,,
sport,51,4139,119000,1,4890,,,,,,,,,,,
pop,51,609,28500,1,10900,,,,,,,,,,,
pop,51,1096,83000,1,7900,,,,,,,,,,,
lounge,73,4049,98000,1,5999,,,,,,,,,,,
lounge,51,456,12693,1,10900,,,,,,,,,,,
lounge,51,762,14586,1,10500,,,,,,,,,,,
lounge,51,821,27640,1,10400,,,,,,,,,,,
lounge,51,2039,49000,1,7500,,,,,,,,,,,
sport,51,3684,160000,1,4900,,,,,,,,,,,
sport,51,4596,107000,1,4300,,,,,,,,,,,
lounge,51,2192,66000,1,6999,,,,,,,,,,,
sport,51,790,35000,1,10200,,,,,,,,,,,
pop,51,1186,24651,1,9300,,,,,,,,,,,
sport,62,3288,71900,1,5990,,,,,,,,,,,
lounge,51,701,11200,1,10600,,,,,,,,,,,
lounge,51,3288,124050,1,5500,,,,,,,,,,,
pop,51,1066,69395,1,7450,,,,,,,,,,,
lounge,51,456,17961,1,10900,,,,,,,,,,,
lounge,51,670,18669,1,10990,,,,,,,,,,,
pop,51,1431,22700,1,8900,,,,,,,,,,,
lounge,51,4169,56000,1,5900,,,,,,,,,,,
lounge,51,701,22669,1,9500,,,,,,,,,,,
pop,73,2557,50000,1,8250,,,,,,,,,,,
lounge,51,2343,39743,1,8800,,,,,,,,,,,
lounge,51,456,27466,1,9800,,,,,,,,,,,
lounge,51,548,22609,1,9900,,,,,,,,,,,
pop,51,1461,94485,1,7450,,,,,,,,,,,
sport,51,4261,188000,1,4490,,,,,,,,,,,
lounge,51,2343,94000,1,7400,,,,,,,,,,,
pop,51,2192,60786,1,7900,,,,,,,,,,,
pop,51,1096,41950,1,10700,,,,,,,,,,,
lounge,51,456,16971,1,10900,,,,,,,,,,,
