Age,Gender,Dependent_Count,Education_Level,is_Married,Read_Book_per_Year,Income_Range
52,M,2,석사,1,45,D
46,F,4,박사,1,26,X
53,F,0,석사,0,48,A
55,M,2,학사,1,45,D
51,F,3,석사,0,46,A
33,F,3,석사,1,20,A
63,F,1,학사,0,56,B
26,F,0,고졸,0,13,X
36,F,2,박사,0,23,X
52,F,1,고졸,0,40,A
50,M,4,석사,1,39,D
44,M,4,고졸,0,29,C
37,F,2,석사,1,29,B
50,F,2,석사,1,36,A
44,M,5,석사,0,34,C
40,F,3,석사,0,29,A
53,M,2,학사,0,36,E
32,M,2,석사,0,22,E
57,M,0,박사,1,36,C
38,M,3,석사,0,20,B
40,F,3,석사,1,20,X
42,M,5,석사,1,27,C
37,M,1,석사,1,31,C
62,M,1,석사,0,51,D
52,M,2,고졸,1,45,C
46,M,3,학사,0,39,D
42,F,3,고졸,0,31,A
48,F,3,박사,1,44,X
49,F,3,석사,0,38,X
37,M,5,석사,1,31,C
45,M,3,석사,0,33,C
41,F,4,석사,1,36,A
44,M,1,석사,1,33,D
54,F,2,석사,1,44,X
46,M,4,고졸,0,36,B
57,M,3,석사,1,46,D
35,M,3,학사,0,36,C
65,F,0,석사,0,56,A
36,F,4,고졸,1,30,B
33,F,2,석사,0,19,A
49,F,2,석사,1,39,A
54,F,1,학사,0,41,A
46,M,4,고졸,1,36,D
50,F,4,박사,0,36,X
46,M,2,고졸,1,36,E
26,F,2,고졸,0,13,X
59,F,1,석사,1,36,A
54,F,1,고졸,1,44,A
62,F,1,석사,1,50,A
36,M,2,학사,0,31,D
44,F,4,석사,1,36,A
36,F,4,학사,1,36,A
45,F,3,고졸,1,39,B
52,F,2,학사,1,41,B
37,F,3,학사,1,24,X
41,F,4,석사,0,31,B
49,F,3,석사,0,33,B
30,F,1,석사,1,18,X
55,F,2,석사,1,42,A
47,M,1,석사,1,37,D
46,F,1,석사,0,34,B
51,F,1,석사,1,44,A
44,F,4,석사,0,36,X
54,F,2,학사,1,48,A
33,F,1,석사,1,20,A
36,M,2,학사,1,29,E
46,F,3,석사,1,40,X
43,F,2,석사,1,33,A
46,M,5,학사,0,36,D
63,F,0,학사,0,55,X
49,M,4,고졸,1,32,X
42,M,5,고졸,1,36,C
51,F,0,고졸,1,40,B
47,F,2,석사,1,41,A
31,M,0,석사,0,36,B
60,F,0,고졸,1,36,A
57,M,3,고졸,1,50,E
38,F,4,석사,1,30,A
42,F,2,박사,1,32,A
56,M,2,고졸,1,46,E
45,M,4,석사,1,35,D
45,F,3,석사,1,40,X
40,M,3,석사,1,27,E
55,F,2,고졸,1,42,B
43,M,3,석사,1,33,D
53,F,4,석사,0,46,A
49,M,3,석사,0,36,B
49,M,3,석사,1,36,D
41,M,2,학사,0,32,E
50,F,1,고졸,0,36,A
50,F,1,석사,1,44,A
62,M,1,석사,0,36,C
34,M,5,석사,1,27,C
54,M,5,학사,0,45,C
55,M,1,고졸,1,46,C
52,M,3,학사,1,47,E
61,F,0,고졸,1,53,A
54,F,0,고졸,1,45,A
46,M,2,석사,0,34,C
55,F,0,석사,0,36,A
34,F,4,고졸,1,28,B
54,M,2,고졸,1,50,C
47,M,4,석사,1,34,C
43,M,3,학사,0,23,B
51,F,2,석사,0,36,A
42,F,2,석사,0,36,X
38,M,2,고졸,1,33,C
38,M,2,석사,1,29,D
47,F,5,석사,0,36,A
36,F,3,석사,1,27,A
51,F,2,석사,1,46,A
34,M,3,고졸,0,21,B
37,M,2,고졸,0,31,B
50,M,2,학사,0,44,D
31,F,0,석사,1,21,A
62,M,0,석사,1,36,C
45,F,2,석사,0,36,B
42,M,0,고졸,0,36,C
63,F,0,석사,0,56,A
36,M,2,석사,1,23,A
45,M,5,석사,1,26,E
48,F,5,고졸,0,40,A
62,F,2,석사,1,51,A
35,F,2,석사,1,23,X
48,F,3,석사,1,39,X
51,F,2,석사,0,41,X
49,M,3,석사,1,36,A
58,F,2,고졸,0,36,B
50,M,2,석사,1,45,C
37,F,3,고졸,0,29,A
50,M,1,석사,1,30,D
41,M,1,석사,1,31,D
38,M,3,고졸,0,33,C
51,F,2,석사,1,34,X
60,F,0,석사,0,55,X
55,M,2,석사,0,36,D
45,M,3,고졸,1,33,A
43,M,2,석사,0,30,D
51,M,2,학사,0,43,D
45,M,1,석사,1,34,D
56,F,1,석사,1,38,A
40,F,3,고졸,0,27,A
33,F,2,석사,0,17,A
45,F,3,고졸,1,33,A
45,M,4,고졸,1,40,D
41,F,3,학사,1,35,A
45,M,5,박사,1,36,E
40,F,2,박사,0,36,B
38,F,3,석사,1,36,A
46,F,5,고졸,1,35,X
45,M,1,석사,0,32,B
35,F,3,석사,0,28,B
49,F,4,석사,1,42,A
50,F,2,석사,0,43,B
34,F,3,석사,1,25,B
41,M,4,석사,0,35,E
40,M,3,석사,0,36,D
35,M,4,고졸,1,27,B
