city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,last_new_job,training_hours,target
0.516,Male,1,0,Graduate,STEM,13,5,36,1
0.766,Male,1,0,Graduate,STEM,12,5,264,0
0.92,Male,1,0,Masters,STEM,10,2,99,0
0.899,Male,1,0,Graduate,Business Degree,16,1,20,0
0.884,Male,1,0,Masters,STEM,20,5,39,0
0.624,Male,1,1,Graduate,STEM,7,1,80,1
0.939,Female,1,0,Graduate,STEM,9,5,148,0
0.827,Female,1,0,Graduate,Arts,11,1,83,0
0.92,Female,1,0,Graduate,STEM,8,1,48,0
0.92,Female,0,0,Masters,STEM,20,0,79,1
0.624,Female,1,0,Graduate,STEM,5,1,37,1
0.92,Female,0,1,Graduate,STEM,6,1,18,1
0.92,Female,1,0,Graduate,STEM,6,1,148,0
0.92,Male,0,1,Graduate,STEM,2,1,39,1
0.939,Male,1,0,Masters,STEM,20,1,73,0
0.92,Female,0,0,Phd,STEM,13,2,79,0
0.92,Female,1,0,Graduate,STEM,20,1,90,0
0.91,Male,1,0,Masters,STEM,20,2,39,0
0.884,Female,0,0,Phd,STEM,3,1,41,0
0.624,Female,0,1,Masters,STEM,3,0,94,1
0.925,Male,1,0,Masters,STEM,16,2,8,0
0.804,Male,1,0,Masters,STEM,20,1,18,0
0.92,Female,1,0,Graduate,Humanities,4,3,162,0
0.897,Female,1,0,Masters,STEM,10,4,180,0
0.92,Female,1,0,Graduate,STEM,20,1,134,0
0.92,Male,1,0,Graduate,Arts,14,2,94,0
0.794,Male,1,1,Graduate,STEM,4,3,39,0
0.92,Male,1,0,Masters,STEM,20,5,43,0
0.624,Female,0,1,Graduate,STEM,8,0,53,1
0.899,Female,1,0,Graduate,STEM,8,1,100,0
0.91,Female,1,0,Graduate,STEM,20,1,43,0
0.624,Male,1,0,Graduate,STEM,8,4,114,1
0.91,Male,1,0,Graduate,Business Degree,4,1,59,0
0.802,Female,0,1,Graduate,STEM,3,1,144,1
0.624,Male,1,0,Graduate,STEM,9,5,80,0
0.698,Male,1,1,Graduate,STEM,6,1,59,0
0.92,Female,1,0,Graduate,Humanities,20,2,44,1
0.527,Male,1,1,Masters,STEM,8,0,176,0
0.925,Male,1,0,Graduate,STEM,15,4,108,0
0.92,Female,1,0,Graduate,Humanities,7,1,25,0
0.91,Male,1,0,Masters,STEM,14,5,72,0
0.579,Male,1,1,Graduate,STEM,5,2,83,1
0.897,Female,1,0,Graduate,STEM,5,0,133,0
0.92,Female,1,0,Graduate,Arts,1,1,107,0
0.802,Male,1,0,Graduate,STEM,8,0,18,1
0.754,Male,1,1,Graduate,STEM,20,1,68,1
0.624,Female,0,0,Graduate,STEM,2,0,59,1
0.92,Female,1,0,Graduate,STEM,7,1,41,0
0.624,Male,0,1,Masters,STEM,4,1,24,1
0.897,Male,1,0,Graduate,STEM,10,2,202,0
0.92,Male,1,0,Graduate,STEM,20,1,28,0
0.743,Female,1,0,Masters,STEM,7,2,222,0
0.92,Female,1,0,Graduate,STEM,5,1,23,0
0.776,Female,1,0,Graduate,STEM,2,1,15,0
0.92,Female,1,0,Graduate,STEM,6,1,332,0
0.624,Male,0,0,Graduate,STEM,11,3,34,0
0.939,Male,0,0,Graduate,STEM,3,2,109,0
0.939,Female,0,1,Graduate,STEM,4,1,24,0
0.92,Male,1,0,Graduate,STEM,20,5,30,1
0.855,Male,1,0,Masters,STEM,12,1,110,0
0.448,Male,0,0,Graduate,STEM,4,1,44,1
0.92,Female,1,0,Masters,STEM,20,5,18,0
0.923,Male,1,0,Graduate,STEM,20,5,166,0
0.92,Male,0,1,Graduate,STEM,7,0,28,0
0.92,Female,1,0,Phd,STEM,20,2,24,0
0.92,Male,0,1,Graduate,STEM,5,1,86,1
0.624,Male,1,1,Graduate,STEM,5,3,51,1
0.92,Male,1,0,Graduate,STEM,20,1,13,1
0.926,Male,1,0,Graduate,STEM,20,5,31,0
0.92,Female,0,1,Graduate,STEM,0,1,31,1
0.802,Male,1,0,Graduate,STEM,16,1,107,0
0.92,Male,1,0,Graduate,STEM,12,2,42,0
0.727,Male,0,1,Graduate,STEM,4,1,44,1
0.624,Male,0,0,Masters,STEM,5,1,31,0
0.91,Female,1,0,Graduate,STEM,5,1,4,0
0.92,Male,1,0,Graduate,STEM,12,4,62,0
0.624,Female,1,0,Graduate,STEM,15,1,5,1
0.624,Female,1,0,Graduate,STEM,4,2,158,1
0.899,Male,1,0,Graduate,STEM,17,3,12,0
0.92,Male,1,0,Graduate,STEM,20,1,88,1
0.624,Male,1,0,Graduate,STEM,7,4,67,1
0.939,Male,1,0,Masters,STEM,10,1,66,0
0.527,Female,1,0,Masters,STEM,9,1,58,1
0.92,Female,1,0,Masters,STEM,15,1,15,1
0.92,Female,1,0,Graduate,STEM,2,1,124,0
0.924,Male,1,0,Graduate,STEM,12,4,22,0
0.92,Female,1,0,Graduate,Other,20,2,35,0
0.92,Male,1,0,Graduate,Business Degree,20,1,26,0
0.624,Female,1,0,Graduate,Other,8,2,34,0
0.624,Male,1,0,Graduate,STEM,5,1,28,1
0.92,Male,0,1,Graduate,STEM,5,2,43,1
0.92,Male,1,0,Graduate,Business Degree,20,5,31,1
0.91,Male,1,0,Masters,STEM,6,4,71,0
0.91,Male,1,0,Graduate,STEM,20,3,280,1
0.92,Male,1,0,Masters,STEM,10,5,23,1
0.92,Female,0,0,Graduate,Humanities,17,5,84,0
0.91,Female,1,0,Graduate,STEM,4,1,108,0
0.624,Female,1,0,Graduate,STEM,0,1,13,0
0.923,Male,1,1,Graduate,STEM,20,1,12,0
0.624,Female,1,0,Graduate,STEM,9,1,66,0
0.897,Male,1,1,Graduate,STEM,6,1,11,0
0.92,Male,1,0,Graduate,STEM,7,1,56,0
0.92,Male,1,0,Masters,STEM,2,1,33,1
