id,published,subject,level,price,subscribers,reviews,lectures,duration
1,2015-07-10,Business Finance,Beginner Level,1.7,56,8,18,2
2,2016-10-25,Business Finance,All Levels,17.4,336,6,13,0.683333333333333
3,2015-06-16,Business Finance,All Levels,8.3,871,79,59,2
4,2016-07-28,Business Finance,All Levels,7,1095,17,35,3
5,2016-05-18,Business Finance,Expert Level,8.3,913,117,48,2
6,2016-03-03,Graphic Design,Beginner Level,3.5,246,30,12,0.683333333333333
7,2016-10-24,Web Development,Intermediate Level,17.4,9773,117,65,4.5
8,2014-01-17,Graphic Design,All Levels,1.7,297,27,19,1.5
9,2014-01-16,Musical Instruments,All Levels,1.7,257,6,5,1
10,2016-08-29,Graphic Design,All Levels,3.5,23,5,10,0.616666666666667
11,2014-11-04,Graphic Design,Intermediate Level,1.7,30,3,14,1.5
12,2016-05-06,Graphic Design,Intermediate Level,1.7,770,8,8,1
13,2014-08-25,Musical Instruments,Beginner Level,2.6,545,5,10,1
14,2016-12-14,Business Finance,All Levels,0,1067,50,35,2
15,2016-12-19,Business Finance,Beginner Level,0,1086,37,5,0.616666666666667
16,2014-05-07,Musical Instruments,All Levels,2.6,5,1,16,2
17,2014-05-19,Musical Instruments,All Levels,1.7,5,0,23,3
18,2016-02-17,Business Finance,Beginner Level,3.5,222,12,35,3
19,2016-05-03,Graphic Design,Beginner Level,8.3,1534,24,23,1.5
20,2015-01-07,Graphic Design,Beginner Level,1.7,11,1,13,1.5
21,2016-08-05,Graphic Design,All Levels,3.9,447,6,23,3.5
22,2014-11-18,Business Finance,All Levels,8.3,136,14,25,4.5
23,2015-02-05,Graphic Design,All Levels,2.6,2044,108,25,4
24,2016-12-14,Musical Instruments,All Levels,3.5,16,3,12,0.633333333333333
25,2015-11-10,Musical Instruments,All Levels,6.1,834,3,35,1
26,2016-10-25,Business Finance,All Levels,17.4,185,36,25,2.5
27,2014-12-12,Business Finance,Beginner Level,17,16900,2476,52,5.5
28,2015-05-26,Business Finance,All Levels,1.7,227,3,5,1
29,2016-10-29,Musical Instruments,All Levels,4.3,1541,14,42,1
30,2015-03-04,Web Development,Beginner Level,3.9,2409,90,19,2.5
31,2016-10-03,Musical Instruments,Beginner Level,1.7,3,0,36,1
32,2015-06-07,Business Finance,Beginner Level,1.7,135,5,12,1.5
33,2015-10-09,Graphic Design,All Levels,4.3,1056,15,8,0.566666666666667
34,2016-03-14,Musical Instruments,Beginner Level,8.7,239,1,9,0.666666666666667
35,2014-01-13,Business Finance,All Levels,1.7,1074,6,13,1
36,2014-07-17,Business Finance,All Levels,4.3,7750,58,15,1.5
37,2016-04-05,Web Development,All Levels,17,12068,81,12,1.5
38,2015-09-14,Business Finance,All Levels,17,1512,23,19,1.5
39,2016-10-29,Business Finance,All Levels,17.4,52,8,21,1.5
40,2016-01-24,Graphic Design,Intermediate Level,17,3599,43,72,5
41,2015-01-02,Business Finance,All Levels,2.6,267,9,10,2
42,2015-09-28,Business Finance,All Levels,4.3,2222,24,11,0.6
43,2015-01-03,Musical Instruments,Beginner Level,1.7,113,0,24,1.5
44,2016-03-28,Web Development,All Levels,2.2,3133,351,63,6
45,2015-11-11,Graphic Design,All Levels,1.7,1076,11,15,2.5
46,2014-09-16,Graphic Design,All Levels,1.7,1557,11,12,1.5
47,2014-11-22,Web Development,Beginner Level,0,64128,4047,17,1.5
48,2016-05-23,Graphic Design,Beginner Level,8.3,1123,31,13,0.633333333333333
49,2016-09-12,Graphic Design,Beginner Level,2.2,1401,30,12,0.7
50,2016-04-12,Graphic Design,Beginner Level,1.7,549,10,8,1
51,2014-06-02,Business Finance,All Levels,17.4,7159,61,18,2
52,2016-08-09,Graphic Design,All Levels,8.7,2416,19,14,1
53,2016-08-09,Web Development,All Levels,1.7,5125,395,53,7
54,2016-11-15,Web Development,Intermediate Level,17.4,4375,622,129,15.5
55,2015-11-09,Graphic Design,All Levels,17.4,1005,4,46,9.5
56,2015-07-20,Business Finance,All Levels,1.7,1132,33,18,1
57,2016-06-20,Business Finance,All Levels,0,3035,12,14,1.5
58,2015-10-16,Musical Instruments,Beginner Level,4.3,1732,6,34,2
59,2014-12-17,Business Finance,Beginner Level,1.7,1777,11,23,1
60,2015-04-12,Business Finance,All Levels,3.5,2103,15,6,1.5
61,2016-06-27,Business Finance,All Levels,4.3,314,38,37,6.5
62,2015-12-17,Musical Instruments,All Levels,1.7,58,1,10,0.733333333333333
63,2016-08-18,Business Finance,Beginner Level,0,4077,281,20,1.5
64,2015-10-08,Business Finance,All Levels,8.3,264,0,79,3
65,2016-03-11,Web Development,Beginner Level,13,12838,96,22,1.5
66,2014-12-10,Business Finance,All Levels,4.8,952,77,53,3
67,2016-03-18,Business Finance,All Levels,4.3,354,32,49,7
68,2016-11-25,Business Finance,All Levels,17.4,1506,12,12,1
69,2015-07-08,Business Finance,All Levels,8.3,1776,14,29,2.5
70,2015-08-17,Musical Instruments,Beginner Level,1.7,53,5,9,0.583333333333333
71,2016-10-18,Business Finance,All Levels,9.1,8121,689,40,3.5
72,2015-01-20,Business Finance,Beginner Level,1.7,5099,2,15,3
73,2016-05-05,Business Finance,All Levels,4.3,2946,6,284,31.5
74,2015-09-20,Business Finance,Intermediate Level,3.9,12,1,9,0.716666666666667
75,2015-04-17,Graphic Design,Beginner Level,1.7,237,25,32,6
76,2016-03-18,Business Finance,Beginner Level,2.2,2046,14,8,0.633333333333333
77,2016-07-07,Graphic Design,All Levels,2.6,140,6,21,2.5
78,2014-05-09,Musical Instruments,All Levels,2.6,4,0,9,1.5
79,2016-09-12,Business Finance,Beginner Level,1.7,465,51,28,1
80,2016-04-07,Business Finance,All Levels,4.3,2,1,27,3.5
81,2016-06-02,Business Finance,All Levels,1.7,76,14,21,2
82,2014-12-29,Business Finance,Beginner Level,4.3,37,3,22,4
83,2014-05-30,Web Development,Beginner Level,4.3,4123,46,31,4.5
84,2014-04-01,Graphic Design,Beginner Level,1.7,1,1,5,0.616666666666667
85,2016-05-27,Graphic Design,Beginner Level,8.3,110,9,22,2.5
86,2015-07-05,Business Finance,Beginner Level,1.7,313,14,25,1
87,2016-02-17,Graphic Design,Beginner Level,1.7,134,4,13,0.516666666666667
88,2015-06-19,Business Finance,Beginner Level,17.4,1806,38,211,19.5
89,2015-08-28,Web Development,Beginner Level,1.7,3694,48,39,4
90,2014-10-12,Business Finance,All Levels,17.4,10603,872,42,5.5
91,2015-07-22,Business Finance,All Levels,4.3,6,2,32,1
92,2015-08-10,Business Finance,All Levels,17.4,2666,115,52,4
93,2016-10-04,Business Finance,Intermediate Level,1.7,1361,1,14,3
94,2015-08-14,Business Finance,All Levels,2.6,270,22,24,3.5
95,2016-03-18,Business Finance,Beginner Level,0,2144,47,20,1
96,2016-12-13,Musical Instruments,Intermediate Level,6.1,98,18,31,2.5
97,2015-10-18,Musical Instruments,Beginner Level,1.7,122,9,11,0.633333333333333
98,2016-08-30,Graphic Design,Beginner Level,2.2,8,0,11,1.5
99,2014-09-09,Graphic Design,Beginner Level,1.7,1933,25,13,1
100,2015-08-03,Graphic Design,All Levels,1.7,4208,25,19,1
101,2016-08-17,Business Finance,Intermediate Level,2.6,252,45,30,4
102,2015-02-19,Graphic Design,All Levels,12.6,2745,61,67,8.5
103,2015-07-22,Business Finance,All Levels,12.6,2305,19,30,1.5
104,2015-08-04,Musical Instruments,All Levels,17.4,6565,55,56,4
105,2015-01-01,Musical Instruments,Beginner Level,4.3,877,93,88,6
106,2016-07-01,Business Finance,Intermediate Level,1.7,68,10,45,2.5
107,2016-12-07,Business Finance,All Levels,1.7,832,34,34,1.5
108,2016-12-28,Graphic Design,All Levels,17,1282,17,19,2.5
109,2016-01-19,Graphic Design,Beginner Level,0,1433,57,8,1
110,2016-08-17,Graphic Design,Intermediate Level,1.7,7,1,5,0.616666666666667
111,2014-05-12,Musical Instruments,Intermediate Level,1.7,276,2,62,5.5
112,2016-09-14,Musical Instruments,All Levels,1.7,35,4,26,3
113,2016-05-11,Business Finance,All Levels,12.6,1186,16,22,1.5
114,2016-09-01,Musical Instruments,All Levels,11.7,1,1,5,0.5
115,2015-10-28,Business Finance,Beginner Level,13,2602,402,57,5
116,2016-02-23,Musical Instruments,All Levels,3.5,20,4,24,1.5
117,2016-10-12,Graphic Design,Beginner Level,8.7,1526,3,24,2
118,2015-01-22,Web Development,Beginner Level,3.5,2472,139,31,4
119,2015-05-01,Graphic Design,Beginner Level,8.7,92,10,57,5.5
120,2015-06-11,Business Finance,All Levels,6.5,1218,30,63,3.5
121,2014-03-24,Musical Instruments,Intermediate Level,4.3,292,18,130,7
122,2015-08-06,Graphic Design,Intermediate Level,3.9,3192,11,18,1
123,2015-07-28,Graphic Design,Beginner Level,17.4,4449,100,9,1.5
124,2016-11-14,Graphic Design,All Levels,8.7,972,44,24,1
125,2015-11-22,Musical Instruments,Beginner Level,3.5,1060,3,15,1.5
126,2016-10-29,Business Finance,All Levels,3.5,14,5,11,1
127,2016-01-14,Business Finance,Beginner Level,0,9483,183,22,2
128,2015-08-27,Business Finance,All Levels,17.4,811,5,29,1.5
129,2016-11-28,Business Finance,All Levels,11.7,313,16,25,2.5
130,2014-10-01,Business Finance,All Levels,4.3,2053,234,44,5.5
131,2016-06-29,Business Finance,All Levels,1.7,31,11,20,10.5
132,2016-10-11,Business Finance,Beginner Level,1.7,90,4,15,0.633333333333333
133,2016-11-12,Web Development,Beginner Level,14.3,7057,655,65,18.5
134,2016-11-17,Business Finance,All Levels,17.4,319,19,12,1
135,2015-11-13,Musical Instruments,All Levels,17.4,537,2,22,2
136,2016-01-10,Graphic Design,All Levels,6.1,1150,68,25,3.5
137,2016-08-26,Musical Instruments,All Levels,3.5,33,5,26,2
138,2016-06-09,Graphic Design,All Levels,17.4,36288,737,63,5
139,2015-07-12,Business Finance,All Levels,4.3,844,33,40,2
140,2014-03-11,Business Finance,Beginner Level,4.3,171,8,21,3
141,2016-02-02,Web Development,All Levels,8.3,11170,35,19,2.5
142,2016-03-29,Graphic Design,Beginner Level,8.7,1013,0,25,2.5
143,2016-08-25,Web Development,All Levels,1.7,11536,876,60,6.5
144,2015-02-06,Business Finance,Beginner Level,0,3519,102,6,1
145,2016-07-29,Business Finance,All Levels,1.7,50,1,23,1.5
146,2015-09-22,Business Finance,All Levels,4.3,123,16,35,2
147,2016-06-14,Business Finance,All Levels,1.7,58,11,28,1.5
148,2016-12-08,Musical Instruments,Beginner Level,8.7,9,1,45,4.5
149,2016-11-28,Business Finance,All Levels,7.4,29,3,24,0.65
150,2015-08-16,Business Finance,All Levels,3.5,617,44,55,4.5
151,2015-05-28,Musical Instruments,All Levels,2.2,1141,88,74,8.5
152,2015-09-23,Business Finance,All Levels,3.5,627,15,15,1.5
153,2014-12-22,Business Finance,All Levels,16.5,1941,128,527,71.5
