Member_number,Date,itemDescription
1220,2015-01-01,canned beer
1220,2015-01-01,margarine
1220,2015-01-01,chocolate
1235,2015-01-01,sausage
1235,2015-01-01,sausage
1235,2015-01-01,bottled beer
1235,2015-01-01,spread cheese
1422,2015-01-01,tropical fruit
1422,2015-01-01,turkey
1422,2015-01-01,salty snack
1798,2015-01-01,beef
1798,2015-01-01,pastry
1798,2015-01-01,curd
2127,2015-01-01,pork
2127,2015-01-01,pickled vegetables
2211,2015-01-01,butter
2211,2015-01-01,pastry
2641,2015-01-01,frozen meals
2641,2015-01-01,other vegetables
2768,2015-01-01,tropical fruit
2768,2015-01-01,meat
2768,2015-01-01,pip fruit
2768,2015-01-01,salt
2768,2015-01-01,pot plants
2851,2015-01-01,whole milk
2851,2015-01-01,white bread
2851,2015-01-01,canned beer
2851,2015-01-01,brown bread
2851,2015-01-01,fruit/vegetable juice
3026,2015-01-01,citrus fruit
3026,2015-01-01,tropical fruit
3026,2015-01-01,soda
3026,2015-01-01,bottled water
3240,2015-01-01,citrus fruit
3240,2015-01-01,whole milk
3751,2015-01-01,frankfurter
3751,2015-01-01,whipped/sour cream
3751,2015-01-01,citrus fruit
3751,2015-01-01,whole milk
3751,2015-01-01,dishes
4104,2015-01-01,dessert
4104,2015-01-01,soda
4439,2015-01-01,butter
4439,2015-01-01,tropical fruit
4537,2015-01-01,ham
4537,2015-01-01,brown bread
4616,2015-01-01,canned beer
4616,2015-01-01,hamburger meat
1206,2015-01-02,sausage
1206,2015-01-02,cat food
2051,2015-01-02,photo/film
2051,2015-01-02,domestic eggs
2051,2015-01-02,cocoa drinks
2271,2015-01-02,rolls/buns
2271,2015-01-02,mayonnaise
2383,2015-01-02,flower soil/fertilizer
2383,2015-01-02,yogurt
2383,2015-01-02,specialty chocolate
2384,2015-01-02,chicken
2384,2015-01-02,tropical fruit
3064,2015-01-02,pork
3064,2015-01-02,other vegetables
3086,2015-01-02,pip fruit
3086,2015-01-02,pork
3086,2015-01-02,brown bread
3086,2015-01-02,whole milk
3510,2015-01-02,frankfurter
3510,2015-01-02,whole milk
3520,2015-01-02,other vegetables
3520,2015-01-02,canned beer
3520,2015-01-02,shopping bags
3682,2015-01-02,citrus fruit
3682,2015-01-02,shopping bags
3754,2015-01-02,pip fruit
3754,2015-01-02,whole milk
3754,2015-01-02,margarine
4147,2015-01-02,citrus fruit
4147,2015-01-02,white wine
4147,2015-01-02,bottled beer
4147,2015-01-02,newspapers
4147,2015-01-02,cat food
4933,2015-01-02,sausage
4933,2015-01-02,bottled water
1107,2015-01-03,liver loaf
1107,2015-01-03,chicken
1107,2015-01-03,rolls/buns
1107,2015-01-03,spread cheese
1107,2015-01-03,shopping bags
1136,2015-01-03,tropical fruit
1136,2015-01-03,butter milk
1136,2015-01-03,brown bread
1546,2015-01-03,butter
1546,2015-01-03,root vegetables
1546,2015-01-03,bottled water
1546,2015-01-03,whipped/sour cream
1546,2015-01-03,red/blush wine
1684,2015-01-03,whole milk
1684,2015-01-03,whole milk
1684,2015-01-03,coffee
1684,2015-01-03,oil
1837,2015-01-03,meat
1837,2015-01-03,root vegetables
2386,2015-01-03,beverages
2386,2015-01-03,newspapers
2386,2015-01-03,newspapers
2386,2015-01-03,pastry
2391,2015-01-03,pip fruit
2391,2015-01-03,cookware
2391,2015-01-03,rolls/buns
2391,2015-01-03,whole milk
2573,2015-01-03,ham
2573,2015-01-03,pastry
2573,2015-01-03,whole milk
2573,2015-01-03,specialty bar
2573,2015-01-03,tropical fruit
2573,2015-01-03,hard cheese
2573,2015-01-03,yogurt
2573,2015-01-03,candy
2617,2015-01-03,soda
2617,2015-01-03,pastry
2680,2015-01-03,sausage
2680,2015-01-03,yogurt
2977,2015-01-03,rolls/buns
2977,2015-01-03,UHT-milk
3178,2015-01-03,rolls/buns
3178,2015-01-03,yogurt
3316,2015-01-03,yogurt
3316,2015-01-03,whole milk
3316,2015-01-03,abrasive cleaner
3821,2015-01-03,ham
3821,2015-01-03,whole milk
3821,2015-01-03,pastry
3821,2015-01-03,herbs
3821,2015-01-03,herbs
3821,2015-01-03,newspapers
3821,2015-01-03,chewing gum
3821,2015-01-03,whole milk
3944,2015-01-03,onions
3944,2015-01-03,cream cheese
3944,2015-01-03,baking powder
4031,2015-01-03,frankfurter
4031,2015-01-03,other vegetables
4031,2015-01-03,soda
4529,2015-01-03,whole milk
4529,2015-01-03,tropical fruit
4529,2015-01-03,soda
4529,2015-01-03,newspapers
4766,2015-01-03,root vegetables
4766,2015-01-03,bottled beer
4766,2015-01-03,newspapers
4766,2015-01-03,margarine
4766,2015-01-03,domestic eggs
4766,2015-01-03,shopping bags
4856,2015-01-03,beverages
4856,2015-01-03,specialty bar
4867,2015-01-03,berries
